Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?d parent ?b,?a parent ?b,946,1.0,0.0018790719847449548,946,3,503440,?a
?c predecessor ?a   ?d father ?c   ?d gender ?b,?a gender ?b,892,0.05605381165919283,0.5813953488372093,50,3,86,?a
?a gender ?c   ?d gender ?c   ?b mother ?d,?a parent ?b,946,0.10887949260042283,0.0015758873929008568,103,3,65360,?a
?a name ?c   ?c name ?d   ?d child ?b,?a parent ?b,946,0.0,0.0,0,3,181,?a
?c successor ?a   ?d child ?c   ?b predecessor ?d,?a parent ?b,946,0.02959830866807611,0.3146067415730337,28,3,89,?a
?c child ?a   ?c spouse ?d   ?b mother ?d,?a predecessor ?b,358,0.013966480446927373,0.043478260869565216,5,3,115,?a
?a child ?c   ?c father ?d   ?d hasSpouse ?b,?a hasSpouse ?b,1928,0.0995850622406639,1.0,192,3,192,?a
?a child ?c   ?d child ?c   ?d successor ?b,?a predecessor ?b,358,0.013966480446927373,0.02702702702702703,5,3,185,?a
?a marriedTo ?c   ?c successor ?b,?a successor ?b,354,0.005649717514124294,1.0,2,2,2,?a
?c predecessor ?a   ?d successor ?c   ?d successor ?b,?a father ?b,561,0.0017825311942959,0.0053475935828877,1,3,187,?a
?c father ?a   ?d predecessor ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.058069381598793365,1.0,154,3,154,?a
?a name ?c   ?d name ?c   ?d child ?b,?a spouse ?b,865,0.0023121387283236996,0.001702127659574468,2,3,1175,?a
?c predecessor ?a   ?c father ?b,?a spouse ?b,865,0.011560693641618497,0.09259259259259259,10,2,108,?a
?a hasSpouse ?c   ?d hasSpouse ?c   ?b child ?d,?a child ?b,1508,0.123342175066313,0.0019655500369861567,186,3,94630,?a
?c spouse ?a   ?c spouse ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.2854449472096531,1.0,757,3,757,?a
?c spouse ?a   ?d parent ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.21380090497737556,1.0,567,3,567,?a
?c child ?a   ?c child ?d   ?b successor ?d,?a father ?b,561,0.23351158645276293,0.4763636363636364,131,3,275,?a
?c parent ?a   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?d,?a hasSpouse ?b,1928,0.3112033195020747,0.0003770739064856712,600,3,1591200,?a
?a marriedTo ?c   ?b spouse ?c,?a spouse ?b,865,0.0011560693641618498,0.5,1,2,2,?a
?c successor ?a   ?b successor ?c,?a father ?b,561,0.023172905525846704,0.08843537414965986,13,2,147,?a
?c child ?a   ?b mother ?c,?a child ?b,1508,0.000663129973474801,0.004405286343612335,1,2,227,?a
?c parent ?a   ?c parent ?d   ?b father ?d,?a child ?b,1508,0.1797082228116711,0.808955223880597,271,3,335,?a
?c successor ?a   ?c child ?d   ?b child ?d,?a mother ?b,408,0.08333333333333333,0.23129251700680273,34,3,147,?a
?c child ?a   ?b parent ?c,?a predecessor ?b,358,0.01675977653631285,0.023166023166023165,6,2,259,?a
?c child ?a   ?b successor ?c,?a parent ?b,946,0.008456659619450317,0.03524229074889868,8,2,227,?a
?c child ?a   ?b marriedTo ?c,?a mother ?b,408,0.012254901960784314,0.38461538461538464,5,2,13,?a
?a father ?c   ?d predecessor ?c   ?d mother ?b,?a parent ?b,946,0.0824524312896406,0.6724137931034483,78,3,116,?a
?c predecessor ?a   ?c mother ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.06372549019607843,1.0,169,3,169,?a
?c successor ?a   ?b child ?c,?a mother ?b,408,0.022058823529411766,0.07258064516129033,9,2,124,?a
?a name ?c   ?b name ?c,?a mother ?b,408,0.0,0.0,0,2,417,?a
?c father ?a   ?c mother ?d   ?d child ?b,?a child ?b,1508,0.13859416445623343,0.7769516728624535,209,3,269,?a
?c spouse ?a   ?d parent ?c   ?b name ?d,?a name ?b,585,0.0,0.0,0,3,41,?a
