Body,Head,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?a spouse ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""female""",407,0.7248157248157249,0.5239786856127886,295,2,563,?a
?a predecessor ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""female""",407,0.044226044226044224,0.10465116279069768,18,2,172,?a
?a hasSpouse ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""female""",407,0.7248157248157249,0.4580745341614907,295,2,644,?a
?a predecessor ?c   ?c hasSpouse Yes,"?a gender ""female""",407,0.02702702702702703,0.1111111111111111,11,2,99,?a
?a child ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""female""",407,0.37346437346437344,0.46200607902735563,152,2,329,?a
?a child ?c   ?c hasSpouse No,"?a gender ""female""",407,0.3071253071253071,0.4699248120300752,125,2,266,?a
?a child ?c   ?c hasSpouse Yes,"?a gender ""female""",407,0.24815724815724816,0.45701357466063347,101,2,221,?a
"?a child ?c   ?c gender ""male""","?a gender ""female""",407,0.10810810810810811,0.3076923076923077,44,2,143,?a
"?a father ?c   ?c gender ""male""","?a gender ""female""",407,0.36363636363636365,0.4228571428571429,148,2,350,?a
?a father ?c   ?c hasSpouse No,"?a gender ""female""",407,0.051597051597051594,0.27631578947368424,21,2,76,?a
?a father ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""female""",407,0.4103194103194103,0.3901869158878505,167,2,428,?a
?a father ?c   ?c hasSpouse Yes,"?a gender ""female""",407,0.22358722358722358,0.38396624472573837,91,2,237,?a
?a successor ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""female""",407,0.056511056511056514,0.125,23,2,184,?a
?a successor ?c   ?c hasSpouse Yes,"?a gender ""female""",407,0.029484029484029485,0.12903225806451613,12,2,93,?a
?a successor ?c   ?c hasSpouse No,"?a gender ""female""",407,0.022113022113022112,0.14285714285714285,9,2,63,?a
?a mother ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,"?a gender ""female""",407,0.3366093366093366,0.4405144694533762,137,2,311,?a
